,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
225,Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"5,99,410",347,"25,400"
226,Wallis and Futuna,"3,427",,7,,438,,"2,982",,"3,12,056",637,"20,508"
227,Tuvalu,"2,805",, ,,,,"2,805",,"2,32,471",,
228,Saint Helena,"2,166",, ,,2,,"2,164",,"3,54,211",,
229,Falkland Islands,"1,930",, ,,"1,930",,0,,"5,45,352",,"8,632"
230,Montserrat,"1,403",,8,,"1,376",,19,,"2,82,578","1,611","17,762"
231,Niue,801,, ,,801,,0,,"4,93,835",,
232,Diamond Princess,712,,13,,699,,0,,,,
233,Vatican City,29,, ,,29,,0,,"36,295",,
234,Western Sahara,10,,1,,9,,0,,16,2,
235,MS Zaandam,9,,2,,7,,0,,,,
236,Tokelau,5,, ,,,,5,,"3,628",,
237,China,"5,03,302",,"5,272",,"3,79,053",,"1,18,977",N/A,347,4,"16,00,00,000"
